chr,cell_id,mean_reads,mean_copy,clone_id
10,SA919X4XB40509-A98217A-R17-C40,135.38,2.89,A
10,SA919X4XB40509-A98217A-R17-C42,196.32,2.93,A
10,SA919X4XB40509-A98217A-R17-C46,145.73,2.95,A
10,SA919X4XB40509-A98217A-R17-C47,151.59,3.05,A
10,SA919X4XB40509-A98217A-R17-C48,139.37,3.01,A
10,SA919X4XB40509-A98217A-R17-C49,138.19,3,A
10,SA919X4XB40509-A98217A-R17-C51,155.46,2.99,A
10,SA919X4XB40509-A98217A-R17-C52,136.43,3.08,A
10,SA919X4XB40509-A98217A-R17-C55,144.03,3.01,A
10,SA919X4XB40509-A98217A-R17-C57,150.89,2.98,A
10,SA919X4XB40509-A98217A-R17-C60,135.37,3.05,A
10,SA919X4XB40509-A98217A-R17-C61,118.67,3.05,A
10,SA919X4XB40509-A98217A-R17-C63,157.46,2.97,A
10,SA919X4XB40509-A98217A-R17-C64,124.22,2.95,A
10,SA919X4XB40509-A98217A-R17-C67,134.54,3.03,A
10,SA919X4XB40509-A98217A-R17-C69,138.29,2.85,A
10,SA919X4XB40509-A98217A-R17-C70,133.51,2.97,A
10,SA919X4XB40509-A98217A-R18-C08,152.32,2.96,A
10,SA919X4XB40509-A98217A-R18-C09,147.89,2.9,A
10,SA919X4XB40509-A98217A-R18-C11,140.1,3.03,A
10,SA919X4XB40509-A98217A-R18-C13,180.1,2.99,A
10,SA919X4XB40509-A98217A-R18-C14,150.14,3,A
10,SA919X4XB40509-A98217A-R18-C15,139.78,2.98,A
10,SA919X4XB40509-A98217A-R18-C16,147,2.87,A
10,SA919X4XB40509-A98217A-R18-C18,128.35,3.03,A
10,SA919X4XB40509-A98217A-R18-C19,134.35,2.95,A
10,SA919X4XB40509-A98217A-R18-C20,141.94,2.98,A
10,SA919X4XB40509-A98217A-R18-C22,136.76,2.94,A
10,SA919X4XB40509-A98217A-R18-C24,161.81,2.99,A
10,SA919X4XB40509-A98217A-R18-C28,136.08,3,A
10,SA919X4XB40509-A98217A-R18-C29,135.97,2.96,A
10,SA919X4XB40509-A98217A-R18-C31,165.03,3.08,A
10,SA919X4XB40509-A98217A-R18-C32,145.54,3.08,A
10,SA919X4XB40509-A98217A-R18-C34,104.54,2.96,A
10,SA919X4XB40509-A98217A-R18-C35,165.9,3.08,A
10,SA919X4XB40509-A98217A-R18-C37,125.37,2.8,A
10,SA919X4XB40509-A98217A-R18-C40,152.67,3.1,A
10,SA919X4XB40509-A98217A-R18-C41,145.65,2.9,A
10,SA919X4XB40509-A98217A-R18-C44,158.16,3.09,A
10,SA919X4XB40509-A98217A-R18-C46,152.25,2.99,A
10,SA919X4XB40509-A98217A-R18-C48,145.48,2.94,A
10,SA919X4XB40509-A98217A-R18-C50,127,3.04,A
10,SA919X4XB40509-A98217A-R18-C51,144.71,2.96,A
